itemNo|descrGER|descrENG|quantity|sort|listPrice|machineFamily
20-0-0-0096-0|Siebaufnahme U-Profil Y-Achse 50x70|U-profile adapter bar 50x70|ST|8|28,6495|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;50x70
20-0-0-0187-0|Siebaufnahme U-Profil Y-Achse 70x100|U-profile adapter bar 70x100|ST|8|41,23438|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;70x100;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US
20-0-0-0201-0|Option Stehermontage Pro Iron|option stayer mounting Pro Iron|ST|4|227,15|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ-2 US;50x70;70x100;80x110;80x120;90x120;70x120;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;45x70;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
20-0-0-0204-0|Siebrahmen Hix Reten 23x33''|screen frame Hix Reten 23x33'' with teflon|ST|4|92,536|SPSX;SPXC;SP5000 Manuell;SPiQ-2 US;80x120;90x120;70x120;50x70;70x100;80x110;43x50;45x55;45x70;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SPiQ COMPACT AUTO;SPSXLF;SPSXLS;SPiQ;SPiQ AUTO;SPiQ COMPACT;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM
20-0-0-0212-0|Siebaufnahme U-Profil Y-Achse 80x110|U-profile adapter bar 80x110|ST|8|42,4605|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;80x110
20-0-0-0644-0|Aufziehautomat|upload unit|ST|7|5547,69|SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell VAKUUM US;SP5000 AUTO VAKUUM US;50x70;70x100
20-0-0-0644-1|Abziehautomat|unload unit|ST|7|2741,57|SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell VAKUUM US;SP5000 AUTO VAKUUM US;50x70;70x100
20-0-0-0674-0|Siebaufnahme Passerschrauben 50x70|pass-screw adapter bar 50x70|ST|8|10,718|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;50x70
20-0-0-0675-0|Siebaufnahme Passerschrauben 70x100|pass-screw adapter bar 70x100|ST|8|17,72375|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;70x100;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US
20-0-0-0676-0|Siebaufnahme Passerschrauben 80x110|pass-screw adapter bar 80x110|ST|8|21,113|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;80x110
