itemNo|descrGER|descrENG|quantity|listPrice|machineFamily|tableNo
SI4-50X70|Single Print Station 50x70cm|single print station 50x70 cm|ST|0.0|Single Print WAND|1
SI4-50X70DP|Single Print Station double pallet 50x70cm|single print station double pallet 50x70cm|ST|6154.94|Single Print WAND|2
SI4-50X70DPV|Single Print Station double pallet 50x70cm Vakuum|single print station double pallet 50x70cm vacuum|ST|7540.55|Single Print WAND VAKUUM|2
SI4-50X70W|Single Print Station fahrbar 50x70cm|single print station moveable 50x70|ST|0.0|Single Print FAHRBAR|1
SI4-50X70WV|Single Print Station fahrbar 50x70 Vakuum|single print station moveable vacuum 50x70|ST|5155.82|Single Print FAHRBAR VAKUUM|1
SI4-70X100|Single Print Station 70x100cm|single print station 70x100 cm|ST|0.0|Single Print WAND|1
SI4-70X100DP|Single Print Station double pallet 70x100cm|single print station double pallet 70x100cm|ST|6796.66|Single Print WAND|2
SI4-70X100DPV|Single Print Station double pallet 70x100cm Vakuum|single print station double pallet 70x100cm vacuum|ST|0.0|Single Print WAND VAKUUM|2
SI4-70X100V|Single Print Station 70x100cm SP4 Vakuum|single print station moveable vacuum 70x100|ST|0.0|Single Print WAND VAKUUM|1
SI4-70X100W|Single Print Station fahrbar 70x100cm|single print station moveable 70x100|ST|4339.63|Single Print FAHRBAR|1
SI4-80X110V|Single Print Station 80x110cm SP4 Vakuum|single print station moveable vacuum 80x110|ST|0.0|Single Print WAND VAKUUM|1
SI4-80X110W|Single Print Station fahrbar 80x110cm|single print station moveable 80x110|ST|3646.85|Single Print FAHRBAR|1
SP5A08_50X70|Siebdruckmaschine SP5A 08 50x70|textile-screenprinting machine SP5A 08 50x70|ST|0.0|SP5000 AUTO|8
SP5A08_50X70US|Siebdruckmaschine SP5A 08 50x70 US|textile-screenprinting machine SP5A 08 50x70 US|ST|0.0|SP5000 AUTO US|8
SP5A08_50X70VAK|Siebdruckmaschine SP5A 08 50x70 VAK|textile-screenprinting machine SP5A 08 50x70 VAK|ST|0.0|SP5000 AUTO VAKUUM|8
SP5A08_70X100|Siebdruckmaschine SP5A 08 70x100|textile-screenprinting machine SP5A 08 70x100|ST|0.0|SP5000 AUTO|8
SP5A08_70X100US|Siebdruckmaschine SP5A 08 70x100 US|textile-screenprinting machine SP5A 08 70x100 US|ST|0.0|SP5000 AUTO US|8
SP5A08_70X100VAK|Siebdruckmaschine SP5A 08 70x100 VAK|textile-screenprinting machine SP5A 08 70x100 VAK|ST|0.0|SP5000 AUTO VAKUUM|8
